System,Platform,packages available,version
Arch Linux,x86,aircrack-ng,"1,2"
Arch Linux,x86,bully,git
Arch Linux,x86,cangibrina,git
Arch Linux,x86,cmsmap,git
Arch Linux,x86,dirsearch,git
Arch Linux,x86,dnsenum,git
Arch Linux,x86,hashid,git
Arch Linux,x86,inurlbr,git
Arch Linux,x86,john,git
Arch Linux,x86,joomscan,1
Arch Linux,x86,linset,git
Arch Linux,x86,metasploit,1
Arch Linux,x86,nikto,git
Arch Linux,x86,nipe,git
Arch Linux,x86,nmap,"7,12"
Arch Linux,x86,patator,git
Arch Linux,x86,pompem,git
Arch Linux,x86,sqlmap,git
Arch Linux,x86,t50,"5,41"
Arch Linux,x86,vega,1
Arch Linux,x86,wpscan,git
Arch Linux,x86,xampp,7.05
Arch Linux,x86,xssya,git
Arch Linux,x86,findmyhash,git
Arch Linux,x86,routerhunter,git
Arch Linux,x86_64,aircrack-ng,"1,2"
Arch Linux,x86_64,bully,git
Arch Linux,x86_64,cangibrina,git
Arch Linux,x86_64,cmsmap,git
Arch Linux,x86_64,dirsearch,git
Arch Linux,x86_64,dnsenum,git
Arch Linux,x86_64,hashid,git
Arch Linux,x86_64,inurlbr,git
Arch Linux,x86_64,john,git
Arch Linux,x86_64,joomscan,1
Arch Linux,x86_64,linset,git
Arch Linux,x86_64,metasploit,1
Arch Linux,x86_64,nikto,git
Arch Linux,x86_64,nipe,git
Arch Linux,x86_64,nmap,"7,12"
Arch Linux,x86_64,patator,git
Arch Linux,x86_64,pompem,git
Arch Linux,x86_64,sqlmap,git
Arch Linux,x86_64,t50,"5,41"
Arch Linux,x86_64,vega,1
Arch Linux,x86_64,wpscan,git
Arch Linux,x86_64,xampp,7.05
Arch Linux,x86_64,xssya,git
Arch Linux,x86_64,findmyhash,git
Arch Linux,x86_64,routerhunter,git
Debian,x86,aircrack-ng,"1,2"
Debian,x86,3viltiwnattacker,git
Debian,x86,beef,git
Debian,x86,bully,git
Debian,x86,cangibrina,git
Debian,x86,cmsmap,git
Debian,x86,dirsearch,git
Debian,x86,dnsenum,git
Debian,x86,ettercap,git
Debian,x86,hashid,git
Debian,x86,hydra,"8,2"
Debian,x86,inurlbr,git
Debian,x86,john,git
Debian,x86,joomscan,1
Debian,x86,linset,git
Debian,x86,metasploit,1
Debian,x86,nikto,git
Debian,x86,nmap,"7,12"
Debian,x86,patator,git
Debian,x86,pompem,git
Debian,x86,sqlmap,git
Debian,x86,t50,5.63
Debian,x86,vega,1
Debian,x86,wpscan,git
Debian,x86,xampp,7.05
Debian,x86,xssya,git
Debian,x86,findmyhash,git
Debian,x86,routerhunter,git
Debian,x86_64,aircrack-ng,"1,2"
Debian,x86_64,3viltiwnattacker,git
Debian,x86_64,beef,git
Debian,x86_64,bully,git
Debian,x86_64,cangibrina,git
Debian,x86_64,cmsmap,git
Debian,x86_64,dirs3arch,git
Debian,x86_64,dnsenum,git
Debian,x86_64,ettercap,git
Debian,x86_64,hashid,git
Debian,x86_64,hydra,"8,2"
Debian,x86_64,inurlbr,git
Debian,x86_64,john,git
Debian,x86_64,joomscan,1
Debian,x86_64,linset,git
Debian,x86_64,metasploit,1
Debian,x86_64,nikto,"2,15"
Debian,x86_64,nmap,"6,47"
Debian,x86_64,patator,git
Debian,x86_64,pompem,git
Debian,x86_64,sqlmap,git
Debian,x86_64,t50,5.63
Debian,x86_64,vega,1
Debian,x86_64,wpscan,git
Debian,x86_64,xampp,7.05
Debian,x86_64,xssya,git
Debian,x86_64,findmyhash,git
Debian,x86_64,routerhunter,git
